Temperature,Internal Energy,Cv
18.81188118811881,-5.740523349362358e-22,8.045869906910228e-23
18.91089108910891,-5.660726356623211e-22,8.072814020762157e-23
19.009900990099013,-5.580665645980927e-22,8.099136091493965e-23
19.10891089108911,-5.500347424118381e-22,8.124826770720282e-23
19.207920792079207,-5.419777987154785e-22,8.149877340491826e-23
19.306930693069308,-5.338963714405671e-22,8.174279713295482e-23
19.40594059405941,-5.257911062139029e-22,8.198026426218543e-23
19.504950495049506,-5.1766265574508485e-22,8.221110638808107e-23
19.603960396039604,-5.095116792063623e-22,8.243526130543485e-23
19.7029702970297,-5.01338841625197e-22,8.265267291887845e-23
19.801980198019802,-4.931448132818319e-22,8.286329122343363e-23
19.900990099009903,-4.849302691057049e-22,8.306707221308737e-23
20.0,-4.766958880911215e-22,8.326397780492148e-23
