Temperature (K),B2V Hard Sphere,B2V Lennard-Jones,B2V Square Well
654.3817977247156,4.9383598972523185e+25,1.5054153042820292e+25,2.6553751705556954e+25
654.469308663583,4.9383598972523185e+25,1.505688884969937e+25,2.6557082987372607e+25
654.5568196024503,4.9383598972523185e+25,1.5059623786368736e+25,2.6560413299475256e+25
654.6443305413177,4.9383598972523185e+25,1.5062357853206262e+25,2.6563742642287276e+25
654.731841480185,4.9383598972523185e+25,1.506509105058955e+25,2.656707101623088e+25
654.8193524190524,4.9383598972523185e+25,1.5067823378895923e+25,2.657039842172798e+25
654.9068633579197,4.9383598972523185e+25,1.5070554838502664e+25,2.657372485920027e+25
654.9943742967871,4.9383598972523185e+25,1.5073285429786615e+25,2.6577050329069164e+25
655.0818852356545,4.9383598972523185e+25,1.5076015153124712e+25,2.658037483175591e+25
655.1693961745218,4.9383598972523185e+25,1.507874400889335e+25,2.658369836768142e+25
655.2569071133892,4.9383598972523185e+25,1.50814719974689e+25,2.658702093726637e+25
655.3444180522565,4.9383598972523185e+25,1.50841991192275e+25,2.6590342540931297e+25
655.4319289911239,4.9383598972523185e+25,1.508692537454505e+25,2.659366317909638e+25
655.5194399299912,4.9383598972523185e+25,1.5089650763797226e+25,2.6596982852181634e+25
655.6069508688586,4.9383598972523185e+25,1.5092375287359502e+25,2.6600301560606744e+25
655.6944618077259,4.9383598972523185e+25,1.5095098945607146e+25,2.6603619304791192e+25
655.7819727465933,4.9383598972523185e+25,1.5097821738915244e+25,2.6606936085154296e+25
655.8694836854606,4.9383598972523185e+25,1.5100543667658591e+25,2.6610251902115034e+25
655.956994624328,4.9383598972523185e+25,1.5103264732211837e+25,2.6613566756092135e+25
656.0445055631953,4.9383598972523185e+25,1.510598493294938e+25,2.6616880647504174e+25
656.1320165020627,4.9383598972523185e+25,1.510870427024549e+25,2.6620193576769403e+25
656.21952744093,4.9383598972523185e+25,1.511142274447408e+25,2.662350554430584e+25
656.3070383797974,4.9383598972523185e+25,1.5114140356008993e+25,2.6626816550531333e+25
656.3945493186649,4.9383598972523185e+25,1.5116857105223745e+25,2.66301265958634e+25
656.4820602575322,4.9383598972523185e+25,1.5119572992491763e+25,2.6633435680719364e+25
656.5695711963996,4.9383598972523185e+25,1.512228801818613e+25,2.6636743805516275e+25
656.6570821352669,4.9383598972523185e+25,1.5125002182679826e+25,2.664005097067102e+25
656.7445930741343,4.9383598972523185e+25,1.5127715486345572e+25,2.664335717660014e+25
656.8321040130016,4.9383598972523185e+25,1.513042792955592e+25,2.664666242372002e+25
656.919614951869,4.9383598972523185e+25,1.513313951268308e+25,2.664996671244675e+25
657.0071258907363,4.9383598972523185e+25,1.5135850236099224e+25,2.665327004319618e+25
657.0946368296037,4.9383598972523185e+25,1.5138560100176193e+25,2.6656572416383976e+25
657.182147768471,4.9383598972523185e+25,1.5141269105285802e+25,2.6659873832425538e+25
657.2696587073384,4.9383598972523185e+25,1.5143977251799338e+25,2.666317429173597e+25
657.3571696462058,4.9383598972523185e+25,1.514668454008813e+25,2.666647379473023e+25
657.4446805850731,4.9383598972523185e+25,1.514939097052325e+25,2.6669772341822944e+25
657.5321915239405,4.9383598972523185e+25,1.5152096543475488e+25,2.6673069933428555e+25
657.6197024628078,4.9383598972523185e+25,1.5154801259315535e+25,2.6676366569961288e+25
657.7072134016752,4.9383598972523185e+25,1.5157505118413796e+25,2.667966225183508e+25
657.7947243405425,4.9383598972523185e+25,1.5160208121140407e+25,2.6682956979463635e+25
657.8822352794099,4.9383598972523185e+25,1.5162910267865495e+25,2.6686250753260434e+25
657.9697462182772,4.9383598972523185e+25,1.5165611558958716e+25,2.6689543573638703e+25
658.0572571571446,4.9383598972523185e+25,1.516831199478978e+25,2.669283544101149e+25
658.144768096012,4.9383598972523185e+25,1.5171011575728038e+25,2.6696126355791487e+25
658.2322790348793,4.9383598972523185e+25,1.5173710302142576e+25,2.6699416318391293e+25
658.3197899737467,4.9383598972523185e+25,1.5176408174402459e+25,2.6702705329223134e+25
658.4073009126141,4.9383598972523185e+25,1.5179105192876376e+25,2.6705993388699094e+25
658.4948118514815,4.9383598972523185e+25,1.5181801357932906e+25,2.6709280497230967e+25
658.5823227903488,4.9383598972523185e+25,1.5184496669940399e+25,2.6712566655230325e+25
658.6698337292162,4.9383598972523185e+25,1.5187191129266937e+25,2.6715851863108516e+25
658.7573446680835,4.9383598972523185e+25,1.5189884736280397e+25,2.671913612127665e+25
658.8448556069509,4.9383598972523185e+25,1.5192577491348673e+25,2.672241943014559e+25
658.9323665458182,4.9383598972523185e+25,1.519526939483916e+25,2.672570179012593e+25
659.0198774846856,4.9383598972523185e+25,1.519796044711914e+25,2.6728983201628094e+25
659.107388423553,4.9383598972523185e+25,1.5200650648555767e+25,2.673226366506226e+25
659.1948993624203,4.9383598972523185e+25,1.5203339999515892e+25,2.6735543180838264e+25
659.2824103012877,4.9383598972523185e+25,1.5206028500366205e+25,2.673882174936587e+25
659.369921240155,4.9383598972523185e+25,1.5208716151473212e+25,2.6742099371054503e+25
659.4574321790224,4.9383598972523185e+25,1.5211402953203115e+25,2.6745376046313375e+25
659.5449431178897,4.9383598972523185e+25,1.5214088905922067e+25,2.674865177555144e+25
659.6324540567571,4.9383598972523185e+25,1.5216774009995843e+25,2.675192655917746e+25
659.7199649956244,4.9383598972523185e+25,1.5219458265790214e+25,2.675520039759994e+25
659.8074759344918,4.9383598972523185e+25,1.5222141673670462e+25,2.675847329122717e+25
659.8949868733591,4.9383598972523185e+25,1.5224824234001906e+25,2.6761745240467135e+25
659.9824978122265,4.9383598972523185e+25,1.5227505947149664e+25,2.6765016245727723e+25
